0,1,2,3
80870356.0,18429545,12500,2026-02-27T23:48:53Z
80870356.0,16544002,2500,2026-02-27T23:48:53Z
80870346.0,16093810,300,2026-02-27T23:48:53Z
80870346.0,18429545,6200,2026-02-27T23:48:53Z
80870346.0,16544002,1800,2026-02-27T23:48:53Z
80870337.0,16093810,300,2026-02-27T23:48:53Z
80870337.0,18429545,13500,2026-02-27T23:48:53Z
80870337.0,16544002,2000,2026-02-27T23:48:53Z
80870327.0,16093810,300,2026-02-27T23:48:53Z
80870327.0,18429545,5000,2026-02-27T23:48:53Z
80870327.0,16544002,700,2026-02-27T23:48:53Z
80870327.0,16544003,1300,2026-02-27T23:48:53Z
80870317.0,16093810,300,2026-02-27T23:48:53Z
80870317.0,18429545,6200,2026-02-27T23:48:53Z
80870317.0,16544002,1800,2026-02-27T23:48:53Z
80870309.0,16093810,300,2026-02-27T23:48:53Z
80870309.0,18429545,13000,2026-02-27T23:48:53Z
80870309.0,16544002,2000,2026-02-27T23:48:53Z
80870300.0,16093810,300,2026-02-27T23:48:53Z
80870300.0,18429545,13000,2026-02-27T23:48:53Z
80870300.0,16544002,2000,2026-02-27T23:48:53Z
80870291.0,16093810,300,2026-02-27T23:48:53Z
80870291.0,18429545,11500,2026-02-27T23:48:53Z
80870291.0,16544002,2300,2026-02-27T23:48:53Z
80870280.0,16544002,1000,2026-02-27T23:48:53Z
80870280.0,16093810,400,2026-02-27T23:48:53Z
80870280.0,18429545,8500,2026-02-27T23:48:53Z
80870280.0,15779592,1500,2026-02-27T23:48:53Z
80870275.0,16093810,200,2026-02-27T23:48:53Z
80870275.0,18429545,7000,2026-02-27T23:48:53Z
80870275.0,16544003,1500,2026-02-27T23:48:53Z
80870262.0,16544002,1000,2026-02-27T23:48:53Z
80870262.0,16093810,400,2026-02-27T23:48:53Z
80870262.0,18429545,8500,2026-02-27T23:48:53Z
80870262.0,15779592,1500,2026-02-27T23:48:53Z
80870251.0,16544002,1000,2026-02-27T23:48:53Z
80870251.0,16093810,400,2026-02-27T23:48:53Z
80870251.0,18429545,8000,2026-02-27T23:48:53Z
80870251.0,15779592,1500,2026-02-27T23:48:53Z
80861445.0,16093810,1000,2026-02-27T22:14:12Z
80861448.0,16093810,1000,2026-02-27T22:13:34Z
80861442.0,16093810,300,2026-02-27T22:13:04Z
80861429.0,16093810,700,2026-02-27T22:11:52Z
80861419.0,16093810,700,2026-02-27T22:10:42Z
80861405.0,16093810,500,2026-02-27T22:09:07Z
80861398.0,16093810,700,2026-02-27T22:08:10Z
80861391.0,16093810,700,2026-02-27T22:07:34Z
80861385.0,16093810,700,2026-02-27T22:07:05Z
80861378.0,16093810,700,2026-02-27T22:06:28Z
80861370.0,16093810,700,2026-02-27T22:05:20Z
80861363.0,16093810,700,2026-02-27T22:04:22Z
80861356.0,16093810,700,2026-02-27T22:03:37Z
80861350.0,16093810,700,2026-02-27T22:02:56Z
80861343.0,16093810,700,2026-02-27T22:02:23Z
80861336.0,16093810,700,2026-02-27T22:01:49Z
80861327.0,16093810,700,2026-02-27T21:59:37Z
80861448.0,14158021,58000,2026-02-27T21:55:42Z
80861445.0,15342541,39850,2026-02-27T21:55:42Z
80861442.0,14158021,7500,2026-02-27T21:55:42Z
80861429.0,16544003,1300,2026-02-27T21:55:42Z
80861429.0,18429545,16000,2026-02-27T21:55:42Z
80861419.0,16544003,1300,2026-02-27T21:55:42Z
80861419.0,18429545,16000,2026-02-27T21:55:42Z
80861412.0,16093810,1200,2026-02-27T21:55:42Z
80861412.0,16544003,1300,2026-02-27T21:55:42Z
80861412.0,16538227,5000,2026-02-27T21:55:42Z
80861405.0,16544003,1300,2026-02-27T21:55:42Z
80861405.0,16538227,5000,2026-02-27T21:55:42Z
80861398.0,16544003,1300,2026-02-27T21:55:42Z
80861398.0,18429545,14500,2026-02-27T21:55:42Z
80861391.0,18429545,11000,2026-02-27T21:55:42Z
80861385.0,18429545,11000,2026-02-27T21:55:42Z
80861378.0,18429545,12500,2026-02-27T21:55:42Z
80861370.0,18429545,12500,2026-02-27T21:55:42Z
80861363.0,18429545,12500,2026-02-27T21:55:42Z
80861356.0,18429545,12500,2026-02-27T21:55:42Z
80861350.0,16544003,1300,2026-02-27T21:55:42Z
80861350.0,18429545,13500,2026-02-27T21:55:42Z
80861343.0,16544003,1300,2026-02-27T21:55:42Z
80861343.0,18429545,13500,2026-02-27T21:55:42Z
80861336.0,16544003,1300,2026-02-27T21:55:42Z
80861336.0,18429545,13500,2026-02-27T21:55:42Z
80861327.0,16544003,1300,2026-02-27T21:55:42Z
80861327.0,18429545,13500,2026-02-27T21:55:42Z
80859581.0,16093810,1000,2026-02-27T21:00:44Z
80859581.0,18429545,13000,2026-02-27T21:00:44Z
80859581.0,16544002,3000,2026-02-27T21:00:44Z
80859581.0,16544003,2500,2026-02-27T21:00:44Z
80859570.0,16093810,1000,2026-02-27T21:00:44Z
80859570.0,18429545,13000,2026-02-27T21:00:44Z
80859570.0,16544002,3000,2026-02-27T21:00:44Z
80859470.0,16093810,1000,2026-02-27T21:00:44Z
80859470.0,18429545,12500,2026-02-27T21:00:44Z
80859462.0,16093810,1000,2026-02-27T21:00:44Z
80859462.0,18429545,11000,2026-02-27T21:00:44Z
80850214.0,16544003,1300,2026-02-27T19:09:20Z
80850214.0,18429545,5500,2026-02-27T19:09:20Z
80848604.0,16093810,3000,2026-02-27T18:22:53Z
80848604.0,15342541,81641,2026-02-27T18:22:53Z
80848601.0,16093810,3000,2026-02-27T18:22:53Z
80848601.0,15342541,98928,2026-02-27T18:22:53Z
80848594.0,16093810,1000,2026-02-27T18:22:53Z
80848594.0,18429545,5000,2026-02-27T18:22:53Z
80848584.0,18429545,1900,2026-02-27T18:22:53Z
80848573.0,16093810,1000,2026-02-27T18:22:53Z
80848573.0,18429545,2500,2026-02-27T18:22:53Z
80848573.0,16544003,1000,2026-02-27T18:22:53Z
80848564.0,16544003,700,2026-02-27T18:22:53Z
80848564.0,16093810,1000,2026-02-27T18:22:53Z
80848564.0,18429545,7000,2026-02-27T18:22:53Z
80848564.0,16544003,2000,2026-02-27T18:22:53Z
80848551.0,18429545,6000,2026-02-27T18:22:53Z
80848551.0,16093810,1000,2026-02-27T18:22:53Z
80848551.0,16544003,2500,2026-02-27T18:22:53Z
80848533.0,16544003,700,2026-02-27T18:22:53Z
80848533.0,16093810,1000,2026-02-27T18:22:53Z
